fpType,absIndex,typeIndex,fpName,pos,neg,smarts,description
custom1,0,1,Un0,TRUE,TRUE,[+],
custom1,1,2,Un1,TRUE,TRUE,[-],
custom1,2,3,Un2,TRUE,TRUE,[#6][CX3](=O),
custom1,3,4,Un3,FALSE,TRUE,[CX3H1](=O)[#6],
custom1,4,5,Un4,TRUE,TRUE,[#6][CX3](=O)[#6],
custom1,5,6,Un5,TRUE,FALSE,[#6][CX3](=S),
custom1,9,7,Un9,FALSE,TRUE,"[#6,#1]C([#6,#1])=[N][N]([#6,#1])[#6,#1]",
custom1,13,8,Un13,FALSE,TRUE,"[#6,#1]C([#6,#1])=[N][O][#6]",
custom1,17,9,Un17,FALSE,TRUE,"[#6,#1]C([#6,#1])([OH])(O[#6])",
custom1,18,10,Un18,TRUE,TRUE,"[#6,#1]C([#6,#1])(O[#6])(O[#6])",
custom1,19,11,Un19,FALSE,TRUE,"[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(O[#6])",
custom1,20,12,Un20,FALSE,TRUE,"[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(N([#6,#1])[#6,#1])",
custom1,21,13,Un21,TRUE,TRUE,"[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6])",
custom1,23,14,Un23,TRUE,TRUE,"[#6,#1]C([#6,#1])=C([#6,#1])N([#6,#1])[#6,#1]",
custom1,24,15,Un24,FALSE,TRUE,"[#6,#1]C([#6,#1])=C([#6,#1])[OH]",
custom1,25,16,Un25,TRUE,TRUE,"[#6,#1]C([#6,#1])=C([#6,#1])O[#6]",
custom1,26,17,Un26,TRUE,TRUE,[#6][OH],
custom1,27,18,Un27,TRUE,TRUE,C[OH],
custom1,28,19,Un28,TRUE,TRUE,[#6][CH2][OH],
custom1,29,20,Un29,TRUE,TRUE,[#6][CH]([#6])[OH],
custom1,30,21,Un30,TRUE,TRUE,[#6][C]([#6])([#6])[OH],
custom1,31,22,Un31,TRUE,TRUE,"[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[OH]",
custom1,32,23,Un32,TRUE,TRUE,"[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[NH2]",
custom1,33,24,Un33,TRUE,TRUE,c[OH],
custom1,34,25,Un34,TRUE,TRUE,[OH]cc[OH],
custom1,36,26,Un36,TRUE,TRUE,[#6]O[#6],
custom1,37,27,Un37,TRUE,TRUE,COC,
custom1,38,28,Un38,TRUE,TRUE,cOC,
custom1,39,29,Un39,TRUE,TRUE,cOc,
custom1,40,30,Un40,TRUE,TRUE,[#6]S[#6],
custom1,41,31,Un41,FALSE,TRUE,[#6]SS[#6],
custom1,44,32,Un44,TRUE,TRUE,[a],
