fpType,relIndex,absIndex,fpName,smarts
openbabel,0,8,Un8,"[CX3]=N([#6,#1])[#6,#1]"
openbabel,1,21,Un21,"[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6])"
openbabel,2,33,Un33,c[OH]
openbabel,3,34,Un34,[OH]cc[OH]
openbabel,4,36,Un36,[#6]O[#6]
openbabel,5,39,Un39,cOc
openbabel,6,40,Un40,[#6]S[#6]
openbabel,7,48,Un48,[R]
substructure,8,58,Un58,[CX4]([#6])([#6])([#6])[#6]
substructure,9,65,Un65,[IX1][CX4]
substructure,10,66,Un66,"[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])]"
substructure,11,67,Un67,"[OX2H][CX4H2;!$(C([OX2H])[O,S,#7,#15])]"
substructure,12,68,Un68,"[OX2H][CX4H;!$(C([OX2H])[O,S,#7,#15])]"
substructure,13,69,Un69,"[OX2H][CX4D4;!$(C([OX2H])[O,S,#7,#15])]"
substructure,14,70,Un70,"[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]"
substructure,15,72,Un72,"[OX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])]"
substructure,16,77,Un77,"[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])]"
substructure,17,78,Un78,"[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
substructure,18,79,Un79,"[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
substructure,19,81,Un81,"[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
substructure,20,82,Un82,"[NX3H2+0,NX4H3+]c"
substructure,21,83,Un83,"[NX3H1+0,NX4H2+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]"
substructure,22,91,Un91,"[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])]"
substructure,23,92,Un92,"[SX2](c)[CX4;!$(C([SX2])[O,S,#7,#15])]"
substructure,24,95,Un95,"[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])][CX4;!$(C([OX2H])[O,S,#7,#15])][OX2H]"
substructure,25,103,Un103,[#6][CX3](=[OX1])[#6]
substructure,26,117,Un117,"[NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]"
substructure,27,120,Un120,"[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]"
substructure,28,138,Un138,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[$([OX2H]),$([OX1-])]"
substructure,29,139,Un139,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[OX2][#6;!$(C=[O,N,S])]"
substructure,30,140,Un140,"[#6][#6X3R](=[OX1])[#8X2][#6;!$(C=[O,N,S])]"
substructure,31,141,Un141,"[CX3;$([H0][#6]),$([H1])](=[OX1])[#8X2][CX3;$([H0][#6]),$([H1])](=[OX1])"
substructure,32,144,Un144,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[SX2][#6;!$(C=[O,N,S])]"
substructure,33,152,Un152,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
substructure,34,153,Un153,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[NX3H2]"
substructure,35,155,Un155,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])]"
substructure,36,156,Un156,"[#6R][#6X3R](=[OX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
substructure,37,158,Un158,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H0]([!#6])[#6X3;$([H0][#6]),$([H1])](=[OX1])"
substructure,38,164,Un164,"[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][$([OX2H]),$([OX1-])]"
